text,sentiment
Satisfied with the purchase (review 88),negative
Poor quality and waste of money (review 89),neutral
I love this product and it works perfectly (review 90),positive
This is the worst experience I have ever had (review 91),negative
The service was okay and acceptable (review 92),neutral
Absolutely fantastic quality and fast delivery (review 93),positive
I am very disappointed with the product (review 94),negative
It is average and nothing special (review 95),neutral
Great value for money and highly recommended (review 96),positive
Terrible support and poor response (review 97),negative
Satisfied with the purchase (review 98),neutral
Poor quality and waste of money (review 99),positive
I love this product and it works perfectly (review 100),negative
This is the worst experience I have ever had (review 101),neutral
The service was okay and acceptable (review 102),positive
Absolutely fantastic quality and fast delivery (review 103),negative
I am very disappointed with the product (review 104),neutral
It is average and nothing special (review 105),positive
Great value for money and highly recommended (review 106),negative
Terrible support and poor response (review 107),neutral
Satisfied with the purchase (review 108),positive
Poor quality and waste of money (review 109),negative
I love this product and it works perfectly (review 110),neutral
This is the worst experience I have ever had (review 111),positive
The service was okay and acceptable (review 112),negative
Absolutely fantastic quality and fast delivery (review 113),neutral
I am very disappointed with the product (review 114),positive
It is average and nothing special (review 115),negative
Great value for money and highly recommended (review 116),neutral
Terrible support and poor response (review 117),positive
Satisfied with the purchase (review 118),negative
Poor quality and waste of money (review 119),neutral
I love this product and it works perfectly (review 120),positive
This is the worst experience I have ever had (review 121),negative
The service was okay and acceptable (review 122),neutral
Absolutely fantastic quality and fast delivery (review 123),positive
I am very disappointed with the product (review 124),negative
It is average and nothing special (review 125),neutral
Great value for money and highly recommended (review 126),positive
Terrible support and poor response (review 127),negative
Satisfied with the purchase (review 128),neutral
Poor quality and waste of money (review 129),positive
I love this product and it works perfectly (review 130),negative
This is the worst experience I have ever had (review 131),neutral
The service was okay and acceptable (review 132),positive
Absolutely fantastic quality and fast delivery (review 133),negative
I am very disappointed with the product (review 134),neutral
It is average and nothing special (review 135),positive
Great value for money and highly recommended (review 136),negative
Terrible support and poor response (review 137),neutral
Satisfied with the purchase (review 138),positive
Poor quality and waste of money (review 139),negative
I love this product and it works perfectly (review 140),neutral
This is the worst experience I have ever had (review 141),positive
The service was okay and acceptable (review 142),negative
Absolutely fantastic quality and fast delivery (review 143),neutral
I am very disappointed with the product (review 144),positive
It is average and nothing special (review 145),negative
Great value for money and highly recommended (review 146),neutral
Terrible support and poor response (review 147),positive
Satisfied with the purchase (review 148),negative
Poor quality and waste of money (review 149),neutral
I love this product and it works perfectly (review 150),positive
